t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t52,t53,noTicks
0,0,0,72,77,0,57,0,0,40,36,0,0,0,0,68
0,0,0,72,77,0,57,0,0,40,0,0,0,0,0,15
72,69,0,72,77,0,57,65,60,40,0,0,0,0,0,25
72,69,0,72,77,0,57,65,0,40,0,0,0,0,0,12
72,69,0,72,77,0,57,0,0,40,0,0,0,0,0,12
72,0,0,72,77,0,57,0,0,40,0,0,0,0,0,7
0,0,0,72,77,0,57,0,0,40,0,0,0,0,0,64
0,0,0,72,77,0,57,65,60,40,0,0,0,0,0,34
0,0,0,72,77,0,57,0,0,40,0,0,0,0,0,24
0,0,0,72,77,0,0,0,0,40,0,0,0,0,0,45
0,0,0,72,77,0,0,0,0,0,0,0,0,0,0,15
0,0,0,72,77,0,0,0,0,40,0,0,0,0,0,2
72,69,0,72,77,0,56,65,60,40,0,0,0,0,0,8
72,69,0,0,77,0,56,65,60,40,0,0,0,0,0,3
72,69,0,0,0,0,56,65,60,40,0,0,0,0,0,37
72,69,0,0,0,0,56,0,60,40,0,0,0,0,0,3
